"Programa_x000D_
presupuestal","Producto y o_x000D_
proyecto","Indicador de_x000D_
producto",Línea base,"Meta de_x000D_
cuatrienio",Valor total,"Responsable_x000D_
del área",Unnamed: 7
"Atención
integral de
población en
situación
permanente
de
desprotección
social y/o
familiar","Centros de_x000D_
atención_x000D_
integral para_x000D_
personas_x000D_
con_x000D_
discapacidad_x000D_
adecuados","Centros de_x000D_
atención integral_x000D_
para personas con_x000D_
discapacidad_x000D_
adecuados_x000D_
(adecuación y_x000D_
dotación UAI)",1,2.0,2311000000,"Secretaria de_x000D_
Desarrollo_x000D_
Social",Número
"Inclusión
productiva de
pequeños
productiva de
pequeños
productores
rurales","Servicio de_x000D_
asistencia técnica_x000D_
agropecuaria_x000D_
dirigida a_x000D_
pequeños_x000D_
productores","Pequeños_x000D_
productores_x000D_
rurales asistidos_x000D_
técnicamente_x000D_
(Asistencia a_x000D_
mujeres_x000D_
especialmente_x000D_
cabeza de hogar,_x000D_
emprendedoras_x000D_
que se dedican a_x000D_
la agricultura y_x000D_
apoyo para_x000D_
comercializar sus_x000D_
productos)",80,200.0,400000000,"Secretaria de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Número
"Inclusión
productiva de
pequeños
productiva de
pequeños
productores
rurales","Servicio de apoyo_x000D_
para el fomento_x000D_
organizativo de la_x000D_
Agricultura_x000D_
Campesina,_x000D_
Familiar y_x000D_
Comunitaria","Productores_x000D_
agropecuarios_x000D_
apoyados_x000D_
(capital semilla,_x000D_
programa huertas_x000D_
caseras)_x000D_
(Implementar_x000D_
programas de_x000D_
agricultura_x000D_
urbana de_x000D_
manera_x000D_
sostenible,_x000D_
distribución de_x000D_
semillas de_x000D_
horticultura_x000D_
domestica)",N/D,100.0,750000000,"Secretaria de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Número
"Inclusión
productiva de
pequeños
productiva de
pequeños","Servicio de apoyo_x000D_
en la formulación_x000D_
y estructuración_x000D_
de proyectos","Proyectos_x000D_
asociativos_x000D_
estructurados_x000D_
(capital semilla)",N/D,2.0,10000000,"Secretaria de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Número
"Ordenamiento
social y uso
productivo del
territorio rural","Cartografía de_x000D_
zonificación y_x000D_
evaluación de_x000D_
tierras","Documentos_x000D_
de análisis de_x000D_
zonificación_x000D_
elaborados_x000D_
(creación del_x000D_
sistema_x000D_
informativo de_x000D_
planeación_x000D_
agropecuario)",N/D,1.0,200000000,"Secretaria de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Número
"Fomento del
desarrollo de
aplicaciones,
software y
contenidos para
impulsar la
apropiación de
las Tecnologías
de la
Información y
las
Comunicaciones
(TIC)","Documentos de_x000D_
planeación","Documento de_x000D_
las Estrategias_x000D_
de asistencia_x000D_
técnica para la_x000D_
implementación_x000D_
de Arquitectura_x000D_
TI Colombia,_x000D_
expedido._x000D_
(Formular y_x000D_
actualizar el_x000D_
documento_x000D_
estratégico para_x000D_
la_x000D_
implementación_x000D_
de los_x000D_
lineamientos de_x000D_
acuerdo con el_x000D_
Min TIC;_x000D_
Ejecución del_x000D_
plan de_x000D_
seguridad de la_x000D_
información;_x000D_
sistema de_x000D_
gestión de_x000D_
calidad; modelo_x000D_
integrado de_x000D_
planeación y_x000D_
gestión ; mesas_x000D_
de ayuda)",1,1.0,40000000,"Secretaria de_x000D_
planeación",Número
"Fomento del
desarrollo de
aplicaciones,
software y
contenidos para
impulsar la
apropiación de
las Tecnologías
de la
Información y
las
Comunicaciones
(TIC)","Servicio de_x000D_
almacenamiento_x000D_
local de_x000D_
información","Bytes en_x000D_
capacidad de_x000D_
almacenamiento_x000D_
(modernización_x000D_
e instalación de_x000D_
servidores y_x000D_
servicios_x000D_
complementarios_x000D_
de la_x000D_
administración)",0,1.0,300000000,"Secretaria de_x000D_
planeación",Número
"Fomento del
desarrollo de
aplicaciones,
software y
contenidos para
impulsar la
apropiación de
las Tecnologías
de la
Información y
las
Comunicaciones
(TIC)","Servicio de_x000D_
promoción de la_x000D_
participación_x000D_
ciudadana para_x000D_
el fomento del_x000D_
diálogo con el_x000D_
Estado","Ejercicios de_x000D_
participación_x000D_
ciudadana_x000D_
realizados.",1,4.0,10000000,"Secretaria de_x000D_
planeación",Número
"Fomento del
desarrollo de
aplicaciones,
software y
contenidos para
impulsar la
apropiación de
las Tecnologías
de la
Información y
las","Servicio de_x000D_
promoción de la_x000D_
participación_x000D_
ciudadana para_x000D_
el fomento del_x000D_
diálogo con el_x000D_
Estado","Ejercicios de_x000D_
participación_x000D_
ciudadana_x000D_
realizados._x000D_
(Capacitación en_x000D_
Marketing_x000D_
Digital, Redes_x000D_
Sociales,_x000D_
Tiendas Online a_x000D_
las mujeres y",0,4.0,10000000,"Secretaria de_x000D_
planeación",Número
"Conservación
de la
biodiversidad
y sus
servicios
ecosistémicos","Servicio de_x000D_
restauración de_x000D_
ecosistemas","Áreas en proceso de_x000D_
restauración_x000D_
(zonas verdes del municipio)",0,13.0,2145000000,"Secretaria de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Hectáreas
"Conservación
de la
biodiversidad
y sus
servicios
ecosistémicos","Servicio de_x000D_
restauración de_x000D_
ecosistemas","Áreas en proceso_x000D_
restauración en_x000D_
mantenimiento_x000D_
(Reforestación)",30,30.0,120000000,"Secretaria de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Hectáreas
"Conservación
de la
biodiversidad
y sus
servicios
ecosistémicos","Servicio de_x000D_
restauración de_x000D_
ecosistemas","Áreas en proceso de_x000D_
restauración con seguimiento_x000D_
(seguimiento a humedales)",2176,40.0,60000000,"Secretaria de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Hectáreas
"Generación
de una
cultura que
valora y
gestiona el
conocimiento
y la
innovación","Servicios para_x000D_
fortalecer la_x000D_
participación_x000D_
ciudadana en_x000D_
Ciencia,_x000D_
Tecnología e_x000D_
Innovación","Eventos de fomento_x000D_
de la participación_x000D_
ciudadana en_x000D_
ciencia, tecnología e_x000D_
innovación_x000D_
realizados",0,4.0,10000000,"Secretaria de_x000D_
planeación",Número
"Generación
de una
cultura que
valora y
gestiona el
conocimiento
y la
innovación","Servicio de_x000D_
apoyo para la_x000D_
elaboración_x000D_
de_x000D_
Documentos_x000D_
de planeación_x000D_
para Centros_x000D_
de Ciencia","Documentos de_x000D_
ciencia, tecnología e_x000D_
innovación_x000D_
colaborativos_x000D_
realizados_x000D_
(Documentación de_x000D_
actividades y_x000D_
formulación de_x000D_
planes y proyectos_x000D_
para fortalecimiento_x000D_
de las TICS)",0,1.0,30000000,"Secretaria de_x000D_
planeación",Número
"Generación
de una
cultura que
valora y
gestiona el
conocimiento
y la
innovación","Servicios de_x000D_
comunicación_x000D_
con enfoque_x000D_
en Ciencia_x000D_
Tecnología y_x000D_
Sociedad","Estrategias de_x000D_
comunicación con_x000D_
enfoque en ciencia,_x000D_
tecnología y_x000D_
sociedad_x000D_
implementadas",0,4.0,630000000,"Secretaria de_x000D_
planeación",Número
"Generación
de una
cultura que
valora y
gestiona el
conocimiento
y la
innovación","Servicios de_x000D_
apoyo para el_x000D_
fortalecimiento_x000D_
de procesos_x000D_
de_x000D_
intercambio y_x000D_
transferencia_x000D_
del_x000D_
conocimiento.","Encuestas de_x000D_
percepción de_x000D_
Ciencia, Tecnología_x000D_
e Innovación_x000D_
realizadas",0,4.0,5000000,"Secretaria de_x000D_
planeación",Número
"Generación
de una
cultura que
valora y
gestiona el
conocimiento
y la
innovación","Servicio de_x000D_
apoyo para el_x000D_
fomento de_x000D_
las_x000D_
vocaciones_x000D_
científicas en_x000D_
CTeI","Niños y jóvenes que_x000D_
participan en_x000D_
programas que_x000D_
fomentan la cultura,_x000D_
la Ciencia, la_x000D_
Tecnología y la_x000D_
Innovación",1000,4000.0,400000000,"Secretaria de_x000D_
planeación",Número
"Gestión del
cambio
climático para
un desarrollo
bajo en
carbono y
resiliente al
clima","Servicio de_x000D_
divulgación_x000D_
de la_x000D_
información_x000D_
en gestión_x000D_
del cambio_x000D_
climático_x000D_
para un_x000D_
desarrollo_x000D_
bajo en_x000D_
carbono y_x000D_
resiliente al_x000D_
clima",Campañas de,8,48.0,200000000,"Secretaría de_x000D_
Ambiente y_x000D_
Desarrollo_x000D_
Rural",Número
"Gestión del
cambio
climático para
un desarrollo","Servicio de_x000D_
divulgación_x000D_
de la_x000D_
información",Publicaciones,,12.0,48000000,,
